,OBJECTID,APN,FLOOR,APN_DASH,BOOK,MAP,ITEM,PUC,OWNER_NAME,MAIL_ADDR1,MAIL_ADDR2,MAIL_CITY,MAIL_STATE,MAIL_CNTRY,MAIL_ZIP,PHYSICAL_STREET_NUM,PHYSICAL_STREET_DIR,PHYSICAL_STREET_NAME,PHYSICAL_STREET_TYPE,PHYSICAL_STREET_SUFFIX,PHYSICAL_STREET_POSTDIR,PHYSICAL_SUITE,PHYSICAL_CITY,PHYSICAL_ZIP,PHYSICAL_ADDRESS,MAIL_ADDRESS,DEED_NUMBER,DEED_DATE,SALE_DATE,SALE_PRICE,MCRNUM,MCR_BOOK,MCR_PAGE,SUBNAME,LAND_SIZE,LOT_NUM,BLOCK,TRACT,STR,CITY_ZONING,JURISDICTION,CONST_YEAR,LIVING_SPACE,INCAREOF,TAX_YR_CUR,FCV_CUR,LPV_CUR,LC_CUR,TAX_YR_PREV,FCV_PREV,LPV_PREV,LC_PREV,Shape_Length,Shape_Area,LONGITUDE,LATITUDE,geometry,gis_acres
0,1049736,40155001,1,401-55-001,401,55,001,4111,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20050904505,1235520000000,04/01/2010,94350000,,,,,1742400.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     118,650","      29,891",2.R,2023,"      77,200","      28,468",2.R,1929.5730716921726,232701.8957827858,-113.08073837090271,33.37191885827969,"POLYGON ((-113.07858676497482 33.3737424516671, -113.07856679003615 33.37011509427305, -113.08288988832352 33.37009524284696, -113.08291004202694 33.37372259431715, -113.07858676497482 33.3737424516671))",40.0
1,1049737,40155002,1,401-55-002,401,55,002,0014,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20050904505,1235520000000,04/01/2010,94350000,,,,,1821244.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     123,900","      53,405",2.R,2023,"      84,000","      50,862",2.R,1982.8361923105474,245520.3083790295,-113.08940732668665,33.37560566350402,"POLYGON ((-113.08725472503396 33.377521333116626, -113.08723331189252 33.373702587676135, -113.08831412890974 33.3736975614467, -113.0904757602493 33.373687483480616, -113.09155718003609 33.3736824272429, -113.09157901269076 33.37751541892951, -113.08725472952553 33.37752211552365, -113.08725472503396 33.377521333116626))",42.2
2,1049738,40155003,1,401-55-003,401,55,003,4111,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20050904505,1120089600000,06/01/2005,94350000,,,,,1742400.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     108,850","      35,868",2.R,2023,"      71,470","      34,160",2.R,1929.570278226291,232701.22183315805,-113.08506155498075,33.37189892874283,"POLYGON ((-113.08291004202694 33.37372259431715, -113.08288988832352 33.37009524284696, -113.08721297852607 33.3700752398729, -113.08723331189252 33.373702587676135, -113.08291004202694 33.37372259431715))",40.0
3,1049740,40155004B,1,401-55-004B,401,55,004B,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,1676189.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"      65,031","      43,249",2.R,2023,"      61,568","      41,190",2.R,2002.9482765257528,223915.280451313,-113.08938463741453,33.37181287546399,"POLYGON ((-113.0904757602493 33.373687483480616, -113.09047420975712 33.3734126847876, -113.0883125847058 33.37342276353573, -113.08831412890974 33.3736975614467, -113.08723331189252 33.373702587676135, -113.08721297852607 33.3700752398729, -113.09153652417444 33.37005508460066, -113.09155718003609 33.3736824272429, -113.0904757602493 33.373687483480616))",38.49
4,1049741,40155005,1,401-55-005,401,55,005,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,3484800.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     135,200","      89,916",2.R,2023,"     128,000","      85,635",2.R,2903.665553299337,468840.2195276686,-113.08072461010829,33.36646886870848,"POLYGON ((-113.07856679003615 33.37011509427305, -113.07852686441336 33.362860852311584, -113.08291485789518 33.36284031572777, -113.08288988832352 33.37009524284696, -113.07856679003615 33.37011509427305))",80.59
5,1049742,40155006,1,401-55-006,401,55,006,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,48210,W,DOBBINS,RD,,,,TONOPAH,85354,48210 W DOBBINS RD   TONOPAH  85354,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,6969600.0,,,,4 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     270,400","     179,830",2.R,2023,"     256,000","     171,267",2.R,3851.8193392199,927253.2380880511,-113.08720920516649,33.36645225757748,"POLYGON ((-113.08721297852607 33.3700752398729, -113.08288988832352 33.37009524284696, -113.08291485789518 33.36284031572777, -113.09149522862083 33.36279970846787, -113.09153652417444 33.37005508460066, -113.08721297852607 33.3700752398729))",159.39
6,1049743,40155007B,1,401-55-007B,401,55,007B,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,54450.0,,,,5 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"       2,112","       1,405",2.R,2023,"       2,000","       1,339",2.R,541.7124182969299,7272.190835151952,-113.10130010593589,33.3736119264436,"POLYGON ((-113.1002196370158 33.37372526196895, -113.10021891117707 33.37349855028266, -113.10238057126269 33.37349859079268, -113.10238130428796 33.37372530247887, -113.1002196370158 33.37372526196895))",1.25
7,1049745,40155007F,1,401-55-007F,401,55,007F,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,2041657.0,,,,5 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"      79,210","      52,679",2.R,2023,"      74,992","      50,171",2.R,2266.453245557348,272684.5371571042,-113.10341393912117,33.37202880072854,"POLYGON ((-113.10238130428796 33.37372530247887, -113.10238057126269 33.37349859079268, -113.10021891117707 33.37349855028266, -113.10021153600857 33.37119709179698, -113.10211112788143 33.37119713005747, -113.10210891173762 33.37051012778283, -113.10263293228051 33.3705101337845, -113.10263160097726 33.370097931615966, -113.10604426930058 33.37009791511125, -113.1060561360455 33.373725283724305, -113.10238130428796 33.37372530247887))",46.87
8,1049746,40155007G,1,401-55-007G,401,55,007G,4110,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20050904505,1271635200000,04/01/2010,94350000,,,,,1132560.0,,,,5 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"      43,940","      29,221",2.R,2023,"      41,600","      27,830",2.R,1592.7896514544775,151280.26415391226,-113.10745549230582,33.37191153579415,"POLYGON ((-113.1060561360455 33.373725283724305, -113.10604426930058 33.37009791511125, -113.108854945111 33.37009783033703, -113.10886661961644 33.37372519670303, -113.1060561360455 33.373725283724305))",26.0
9,1049747,40155008,1,401-55-008,401,55,008,4111,CV HARQUAHALA LLC,1121 W WARNER RD 109,,TEMPE,AZ,USA,85284,,,,,,,,,,,1121 W WARNER RD 109 TEMPE AZ USA 85284,20090163458,1235520000000,04/01/2010,94350000,,,,,3484800.0,,,,5 1S 8W,RU-190,NO CITY/TOWN,,,CLUB VISTA FINANCIAL SERVICES LLC,2024,"     148,100","      62,110",2.R,2023,"     103,580","      59,153",2.R,2935.894839349577,486448.845851947,-113.10454929849521,33.375620793384186,"POLYGON ((-113.10238130428796 33.37372530247887, -113.1060561360455 33.373725283724305, -113.10886661961644 33.37372519670303, -113.10887882682282 33.37751648639383, -113.10023179032329 33.3775161330729, -113.1002196370158 33.37372526196895, -113.10238130428796 33.37372530247887))",83.6
