,OBJECTID,APN,FLOOR,APN_DASH,BOOK,MAP,ITEM,PUC,OWNER_NAME,MAIL_ADDR1,MAIL_ADDR2,MAIL_CITY,MAIL_STATE,MAIL_CNTRY,MAIL_ZIP,PHYSICAL_STREET_NUM,PHYSICAL_STREET_DIR,PHYSICAL_STREET_NAME,PHYSICAL_STREET_TYPE,PHYSICAL_STREET_SUFFIX,PHYSICAL_STREET_POSTDIR,PHYSICAL_SUITE,PHYSICAL_CITY,PHYSICAL_ZIP,PHYSICAL_ADDRESS,MAIL_ADDRESS,DEED_NUMBER,DEED_DATE,SALE_DATE,SALE_PRICE,MCRNUM,MCR_BOOK,MCR_PAGE,SUBNAME,LAND_SIZE,LOT_NUM,BLOCK,TRACT,STR,CITY_ZONING,JURISDICTION,CONST_YEAR,LIVING_SPACE,INCAREOF,TAX_YR_CUR,FCV_CUR,LPV_CUR,LC_CUR,TAX_YR_PREV,FCV_PREV,LPV_PREV,LC_PREV,Shape_Length,Shape_Area,LONGITUDE,LATITUDE,geometry,gis_acres
0,1266882,50603011,1,506-03-011,506,03,011,0014,COURTHOUSE AG HOLDINGS LLC,333 N CENTRAL AVE,,PHOENIX,AZ,USA,85004,,,,,,,,,,,333 N CENTRAL AVE PHOENIX AZ USA 85004,20060574714,1146182400000,,,,,,,1742400.0,,,,13 7N 10W,RU-190,NO CITY/TOWN,,,BYNER CATTLE CO/LAND & WATER DEPT,2024,"     346,200","      45,242",2.R,2023,"     120,200","      43,088",2.R,2424.6772690210755,235815.25718211874,-113.25903745814841,33.95293253791115,"POLYGON ((-113.25468515403772 33.95383735901756, -113.25468534268394 33.9520239124166, -113.26338967552893 33.952027713464844, -113.26338967013905 33.95384115402362, -113.25468515403772 33.95383735901756))",39.99
1,1268444,50624014,1,506-24-014,506,24,014,4117,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,2001,S,539TH,AVE,,,,TONOPAH,85354,2001 S 539TH AVE   TONOPAH  85354,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574710,1146182400000,,,,,,,13623826.0,,,,17 1N 9W,RU-43,NO CITY/TOWN,1940,,,2024,"   1,248,533","     610,430",2.R,2023,"   1,103,116","     581,362",2.R,5740.561904457272,1823081.8656520846,-113.20949592752231,33.428341893930046,"POLYGON ((-113.20523989192975 33.435546182232756, -113.2052291741301 33.421139472835016, -113.21375065669564 33.42113767937532, -113.21375752162106 33.42828563475456, -113.21376416017101 33.43554267162333, -113.20523989192975 33.435546182232756))",312.95
2,1268563,50627009A,1,506-27-009A,506,27,009A,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,53501,W,LOWER BUCKEYE,RD,,,,TONOPAH,85354,53501 W LOWER BUCKEYE RD   TONOPAH  85354,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574710,1146182400000,,,,,,,13400832.0,,,,20 1N 9W,RU-43,NO CITY/TOWN,,,,2024,"     519,913","     215,175",2.R,2023,"     492,226","     204,929",2.R,6104.857152830957,1793143.5928722192,-113.20533107133622,33.41727400396451,"POLYGON ((-113.20186579636642 33.420920038422636, -113.20186369610526 33.41962576921115, -113.1996124793757 33.41962598365027, -113.19961454639919 33.4209202536083, -113.19657683128217 33.420920480040685, -113.19656567151138 33.413771862023964, -113.20522018199411 33.413771048450066, -113.21387210982037 33.41376963275644, -113.21387691221389 33.41743307743263, -113.21388134000992 33.42080789810427, -113.21375026323354 33.42080793109446, -113.2137504078623 33.420917846827386, -113.20186579636642 33.420920038422636))",307.89
3,1268564,50627009B,1,506-27-009B,506,27,009B,4570,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,53931,W,LOWER BUCKEYE,RD,,,,TONOPAH,85354,53931 W LOWER BUCKEYE RD   TONOPAH  85354,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574710,1146182400000,,,,,,,323791.0,,,,20 1N 9W,RU-43,NO CITY/TOWN,1990,,,2024,"     887,550","     429,223",2.R,2023,"     769,478","     408,784",2.R,846.4517149702197,43259.527485880375,-113.20073912945645,33.420273012815564,"POLYGON ((-113.19961454639919 33.4209202536083, -113.1996124793757 33.41962598365027, -113.20186369610526 33.41962576921115, -113.20186579636642 33.420920038422636, -113.19961454639919 33.4209202536083))",7.43
4,1268566,50627012,1,506-27-012,506,27,012,4116,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,,,,,,,,,,,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574710,1146182400000,,,,,,,6863749.0,,,,21 1N 9W,RU-43,NO CITY/TOWN,1945,,,2024,"     467,958","     210,768",2.R,2023,"     422,812","     200,732",2.R,3833.3579135180653,918389.4569503545,-113.1922444183431,33.41734925630952,"POLYGON ((-113.1879223576304 33.420926041878786, -113.18791246089091 33.41377829413162, -113.19656567151138 33.413771862023964, -113.19657683128217 33.420920480040685, -113.1879223576304 33.420926041878786))",157.69
5,1268567,50627013,1,506-27-013,506,27,013,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,,,,,,,,,,,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574710,1146182400000,,,,,,,6863749.0,,,,21 1N 9W,RU-43,NO CITY/TOWN,,,,2024,"     266,293","     118,477",2.R,2023,"     252,112","     112,836",2.R,3833.1281127842203,918278.3525513556,-113.18359047152073,33.41735462112381,"POLYGON ((-113.1792690715514 33.42093050229572, -113.17925744465668 33.41378412336939, -113.18791246089091 33.41377829413162, -113.1879223576304 33.420926041878786, -113.1792690715514 33.42093050229572))",157.67
6,1268815,50630003,1,506-30-003,506,30,003,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,,,,,,,,,,,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574713,1146182400000,,,,,,,3383741.0,,,,19 2N 8W,RU-43,NO CITY/TOWN,,,,2024,"     131,279","      58,408",2.R,2023,"     124,288","      55,627",2.R,2887.447609270798,460055.02283851197,-113.12513244186613,33.50452736498042,"POLYGON ((-113.12509866565908 33.50815677062621, -113.12300025325766 33.508158443191796, -113.12299925253443 33.50090085046861, -113.12726660676518 33.50089738520326, -113.12726364951126 33.50815500742891, -113.12509866565908 33.50815677062621))",78.83
7,1268816,50630004,1,506-30-004,506,30,004,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,,,,,,,,,,,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574713,1146182400000,,,,,,,3484800.0,,,,19 2N 8W,RU-43,NO CITY/TOWN,,,,2024,"     135,200","      60,152",2.R,2023,"     128,000","      57,288",2.R,2887.4409826067736,460053.2356748225,-113.12086706353837,33.50453073909182,"POLYGON ((-113.11873685161417 33.50816173214638, -113.11873313079226 33.50271856153142, -113.11873189291381 33.500904169662384, -113.11873223427362 33.50090417565505, -113.12299925253443 33.50090085046861, -113.12300025325766 33.508158443191796, -113.11873685161417 33.50816173214638))",78.83
8,1268817,50630005,1,506-30-005,506,30,005,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,4523,N,499TH,AVE,,,,TONOPAH,85354,4523 N 499TH AVE   TONOPAH  85354,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574713,1146182400000,,,,,,,3383741.0,,,,19 2N 8W,RU-43,NO CITY/TOWN,,,,2024,"     131,279","      58,408",2.R,2023,"     124,288","      55,627",2.R,2888.1715142594194,460443.8669216873,-113.1251334281852,33.49726974372951,"POLYGON ((-113.12299925253443 33.50090085046861, -113.12299827067584 33.49364322828572, -113.1272695828837 33.493639753740105, -113.12726809257865 33.49727010667527, -113.12726660676518 33.50089738520326, -113.12299925253443 33.50090085046861))",78.91
9,1268818,50630006,1,506-30-006,506,30,006,4110,COURTHOUSE AG HOLDINGS LLC,7332 E BUTHERUS DR,,SCOTTSDALE,AZ,USA,85260,,,,,,,,,,,7332 E BUTHERUS DR SCOTTSDALE AZ USA 85260,20060574713,1146182400000,,,,,,,3484800.0,,,,19 2N 8W,RU-43,NO CITY/TOWN,,,,2024,"     135,200","      15,038",2.R,2023,"     128,000","      14,322",2.R,2888.1705853078206,460444.3855664596,-113.12086409218384,33.49727314172674,"POLYGON ((-113.11873223427362 33.50090417565505, -113.11873189291381 33.500904169662384, -113.11872695397638 33.49364655450007, -113.12299827067584 33.49364322828572, -113.12299925253443 33.50090085046861, -113.11873223427362 33.50090417565505))",78.91
