,OBJECTID,APN,FLOOR,APN_DASH,BOOK,MAP,ITEM,PUC,OWNER_NAME,MAIL_ADDR1,MAIL_ADDR2,MAIL_CITY,MAIL_STATE,MAIL_CNTRY,MAIL_ZIP,PHYSICAL_STREET_NUM,PHYSICAL_STREET_DIR,PHYSICAL_STREET_NAME,PHYSICAL_STREET_TYPE,PHYSICAL_STREET_SUFFIX,PHYSICAL_STREET_POSTDIR,PHYSICAL_SUITE,PHYSICAL_CITY,PHYSICAL_ZIP,PHYSICAL_ADDRESS,MAIL_ADDRESS,DEED_NUMBER,DEED_DATE,SALE_DATE,SALE_PRICE,MCRNUM,MCR_BOOK,MCR_PAGE,SUBNAME,LAND_SIZE,LOT_NUM,BLOCK,TRACT,STR,CITY_ZONING,JURISDICTION,CONST_YEAR,LIVING_SPACE,INCAREOF,TAX_YR_CUR,FCV_CUR,LPV_CUR,LC_CUR,TAX_YR_PREV,FCV_PREV,LPV_PREV,LC_PREV,Shape_Length,Shape_Area,LONGITUDE,LATITUDE,geometry,gis_acres
0,123366,40157110E,1,401-57-110E,401,57,110E,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,181559.0,11,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      31,300","       5,093",2.R,2023,"      14,700","       4,851",2.R,781.6849815788242,22459.0787639713,-113.19311058102853,33.33895889326496,"POLYGON ((-113.19253932179666 33.339228401832344, -113.19174891034785 33.33922833353863, -113.19179334641169 33.33863437183577, -113.19207507245783 33.33864306996573, -113.19429421933174 33.33871156752105, -113.19429418429746 33.33888205506144, -113.19462156811623 33.33889204174697, -113.1946215016409 33.33922855718184, -113.19253932179666 33.339228401832344))",3.86
1,124723,40157115,1,401-57-115,401,57,115,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,16,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1160.2287625308593,53924.687610056295,-113.1883716843408,33.34250127792538,"POLYGON ((-113.18628804275252 33.34293725390297, -113.18628838770559 33.34206483113583, -113.18837063941506 33.34206509004319, -113.1904556246979 33.342065314429604, -113.19045468326351 33.342937736441485, -113.18628804275252 33.34293725390297))",9.27
2,124754,40157116,1,401-57-116,401,57,116,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,17,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1160.0983624566074,53918.063339071385,-113.18837104054836,33.34337369609093,"POLYGON ((-113.18628769779946 33.34380967768569, -113.18628804275252 33.34293725390297, -113.19045468326351 33.342937736441485, -113.19045374182907 33.34381015796803, -113.18628769779946 33.34380967768569))",9.27
3,124777,40157117,1,401-57-117,401,57,117,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,18,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1159.9676622912582,53910.830967763366,-113.18837039869969,33.34424611831376,"POLYGON ((-113.18628735374469 33.3446820994818, -113.18628769779946 33.34380967768569, -113.19045374182907 33.34381015796803, -113.19045280129298 33.344682579759386, -113.18628735374469 33.3446820994818))",9.27
4,124787,40157118,1,401-57-118,401,57,118,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,19,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1159.837162343401,53903.66220446325,-113.18836975558254,33.345118540222394,"POLYGON ((-113.18628700968995 33.3455545222927, -113.18628735374469 33.3446820994818, -113.19045280129298 33.344682579759386, -113.19045185985857 33.34555500106459, -113.18628700968995 33.3455545222927))",9.27
5,124931,40157119,1,401-57-119,401,57,119,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,20,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1159.7066622176158,53896.4932750518,-113.18836911306252,33.34599096242666,"POLYGON ((-113.1862866656352 33.346426945367625, -113.18628700968995 33.3455545222927, -113.19045185985857 33.34555500106459, -113.19045091932246 33.34642742263391, -113.1862866656352 33.346426945367625))",9.27
6,124960,40157120,1,401-57-120,401,57,120,0013,WPI II-HARQ II FARM AZ LLC,,,NEW YORK,NY,USA,10022,,,,,,,,,,,NEW YORK NY USA 10022,20200546981,1592784000000,04/01/2020,949801,103-30,103,30,EAGLE TAIL FARMS,405849.0,21,,,16 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"      52,100","       9,245",2.R,2023,"      24,100","       8,805",2.R,1159.575962043454,53889.26046362352,-113.1883684715147,33.34686338431632,"POLYGON ((-113.18628632247876 33.34729936720532, -113.1862866656352 33.346426945367625, -113.19045091932246 33.34642742263391, -113.19044997968467 33.34729984371635, -113.18628632247876 33.34729936720532))",9.27
7,300395,16203102,1,162-03-102,162,03,102,8540,WPI 5625 LLC,1102 E MISSOURI AVE A,,PHOENIX,AZ,USA,850142784,5625,N,PALACIO,PL,,,,PHOENIX,85014,5625 N PALACIO PL   PHOENIX  85014,1102 E MISSOURI AVE A PHOENIX AZ USA 850142784,20150046278,1421971200000,,,151-20,151,20,PALACIO DEL SOL,3293.0,33,,,16 2N 3E,PAD-10,PHOENIX,1973,"   1,335",,2024,"     417,800","     241,889",4.1,2023,"     338,200","     230,371",4.1,89.98184011599616,425.8472221715939,-112.05555421090762,33.5194058892015,"POLYGON ((-112.05541300278507 33.519359733452845, -112.05541299649687 33.51935595437817, -112.05569558851894 33.519354434060716, -112.05569493095216 33.51945629676763, -112.05555486293811 33.51945662479635, -112.05541233713345 33.519456784317185, -112.05541300278507 33.519359733452845))",0.07
8,1049789,40156006,1,401-56-006,401,56,006,4110,WPI II-HARQ III FARM AZ LLC,509 MADISON AVE 804,,NEW YORK,NY,USA,10022,51311,W,DOBBINS,RD,,,,TONOPAH,85354,51311 W DOBBINS RD   TONOPAH  85354,509 MADISON AVE 804 NEW YORK NY USA 10022,20100327801,1271635200000,04/01/2010,94350000,,,,,13939200.0,,,,11 1S 9W,RU-43,NO CITY/TOWN,,,,2024,"     540,800","     359,659",2.R,2023,"     512,000","     342,533",2.R,5788.283647786112,1856442.016660549,-113.15588670947557,33.355572422164336,"POLYGON ((-113.15157725156523 33.36283136342026, -113.15157533186546 33.34831640096557, -113.15588986022505 33.348317212900916, -113.16020438499135 33.3483178747558, -113.16018978377473 33.362833246616105, -113.15157725156523 33.36283136342026))",319.2
9,1049814,40156024,1,401-56-024,401,56,024,4117,WPI II-HARQ III FARM AZ LLC,509 MADISON AVE 804,,NEW YORK,NY,USA,10022,9554,S,HARQUAHALA VALLEY,RD,,,,TONOPAH,85354,9554 S HARQUAHALA VALLEY RD   TONOPAH  85354,509 MADISON AVE 804 NEW YORK NY USA 10022,20090163458,1626393600000,06/01/2021,6850000,,,,,13939200.0,,,,10 1S 9W,RU-43,NO CITY/TOWN,1936,,,2024,"     632,351","     386,001",2.R,2023,"     589,700","     367,620",2.R,5795.235666151917,1863236.725960189,-113.16452345231583,33.35557976883098,"POLYGON ((-113.16018978377473 33.362833246616105, -113.16020438499135 33.3483178747558, -113.16877428405576 33.3483259543375, -113.16885516656731 33.34832602787688, -113.16885497432784 33.348504645947266, -113.16885323159619 33.350130930749444, -113.16885322261302 33.35013968926279, -113.16885004257695 33.35556641536575, -113.16885003000051 33.35558789084042, -113.1688500291022 33.355589705161705, -113.16884582678328 33.362792065390636, -113.16884579803722 33.36283867562186, -113.16018978377473 33.362833246616105))",320.37
